"region","age","gender","population"
"SSC22373",24,"F",0
"SSC22373",25,"M",0
"SSC22373",25,"F",0
"SSC22373",26,"M",0
"SSC22373",26,"F",0
"SSC22373",27,"M",0
"SSC22373",27,"F",0
"SSC22373",28,"M",0
"SSC22373",28,"F",0
"SSC22373",29,"M",0
"SSC22373",29,"F",0
"SSC22373",30,"M",0
"SSC22373",30,"F",0
"SSC22373",31,"M",0
"SSC22373",31,"F",0
"SSC22373",32,"M",0
"SSC22373",32,"F",0
"SSC22373",33,"M",0
"SSC22373",33,"F",0
"SSC22373",34,"M",0
"SSC22373",34,"F",0
"SSC22373",35,"M",0
"SSC22373",35,"F",0
"SSC22373",36,"M",0
"SSC22373",36,"F",0
"SSC22373",37,"M",0
"SSC22373",37,"F",0
"SSC22373",38,"M",0
"SSC22373",38,"F",0
"SSC22373",39,"M",0
"SSC22373",39,"F",0
"SSC22373",40,"M",0
"SSC22373",40,"F",0
"SSC22373",41,"M",0
"SSC22373",41,"F",0
"SSC22373",42,"M",0
"SSC22373",42,"F",0
"SSC22373",43,"M",0
"SSC22373",43,"F",0
"SSC22373",44,"M",0
"SSC22373",44,"F",0
"SSC22373",45,"M",0
"SSC22373",45,"F",0
"SSC22373",46,"M",0
"SSC22373",46,"F",0
"SSC22373",47,"M",0
"SSC22373",47,"F",0
"SSC22373",48,"M",0
"SSC22373",48,"F",0
"SSC22373",49,"M",0
